Serviço,Tarifa,Isenção,Detalhes,Resumo
Conta digital,"Tarifa mensal de R$20,00",Isento para contas universitárias,Taxas reduzidas para servidores públicos.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Taxas reduzidas para servidores públicos."
Investimento CDB,Gratuito,Desconto para clientes do banco,Compensação em até 1 dia útil.,O serviço 'Investimento CDB' possui uma tarifa de Gratuito. Desconto para clientes do banco. Compensação em até 1 dia útil.
Financiamento imobiliário,"R$10,00 por operação",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Financiamento imobiliário' possui uma tarifa de R$10,00 por operação. Sem restrições. Ideal para quem busca praticidade."
Saque na rede 24h,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Saque na rede 24h' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Cartão de crédito,"R$5,00 por operação",Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Cartão de crédito' possui uma tarifa de R$5,00 por operação. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco."
Débito automático,Juros a partir de 8% ao ano,"Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Débito automático' possui uma tarifa de Juros a partir de 8% ao ano. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Transferência via DOC,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Transferência via DOC' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Conta digital,Juros a partir de 8% ao ano,Isento para clientes premium,Compensação em até 1 dia útil.,O serviço 'Conta digital' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Compensação em até 1 dia útil.
Transferência via TED,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Compensação em até 1 dia útil.,"O serviço 'Transferência via TED' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Compensação em até 1 dia útil."
Conta digital,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Conta digital,"Tarifa mensal de R$20,00",Isento para contas universitárias,Compensação em até 1 dia útil.,"O serviço 'Conta digital' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Compensação em até 1 dia útil."
Conta digital,"R$5,00 por operação",Desconto para clientes do banco,Alternativa moderna e eficiente.,"O serviço 'Conta digital' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Alternativa moderna e eficiente."
Financiamento imobiliário,"Taxa de 0,5% ao mês",Sem restrições,Taxas reduzidas para servidores públicos.,"O serviço 'Financiamento imobiliário' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Taxas reduzidas para servidores públicos."
Pix,"Taxa de 0,5% ao mês",Sem restrições,Alternativa moderna e eficiente.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Alternativa moderna e eficiente."
Financiamento imobiliário,"R$5,00 por operação","Isento para gastos acima de R$5.000,00/mês",Compensação em até 1 dia útil.,"O serviço 'Financiamento imobiliário' possui uma tarifa de R$5,00 por operação. Isento para gastos acima de R$5.000,00/mês. Compensação em até 1 dia útil."
Pix,Gratuito,Isento para contas universitárias,Ideal para quem busca praticidade.,O serviço 'Pix' possui uma tarifa de Gratuito. Isento para contas universitárias. Ideal para quem busca praticidade.
Conta digital,"R$10,00 por operação",Isento para contas universitárias,Ideal para quem busca praticidade.,"O serviço 'Conta digital' possui uma tarifa de R$10,00 por operação. Isento para contas universitárias. Ideal para quem busca praticidade."
Saque em agência,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Ideal para quem busca praticidade.,"O serviço 'Saque em agência' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Ideal para quem busca praticidade."
Saque na rede 24h,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Processamento rápido e seguro.,"O serviço 'Saque na rede 24h' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Processamento rápido e seguro."
Conta digital,Gratuito,Isento para contas universitárias,Taxas reduzidas para servidores públicos.,O serviço 'Conta digital' possui uma tarifa de Gratuito. Isento para contas universitárias. Taxas reduzidas para servidores públicos.
Investimento CDB,"Taxa de 0,5% ao mês",Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Investimento CDB' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco."
Conta digital,Gratuito,Isento para clientes premium,"Disponível 24h por dia, todos os dias.","O serviço 'Conta digital' possui uma tarifa de Gratuito. Isento para clientes premium. Disponível 24h por dia, todos os dias."
Transferência via TED,Juros a partir de 8% ao ano,Isento para contas universitárias,Processamento rápido e seguro.,O serviço 'Transferência via TED' possui uma tarifa de Juros a partir de 8% ao ano. Isento para contas universitárias. Processamento rápido e seguro.
Pagamento de contas,"Anuidade de R$120,00",Isento para contas universitárias,Alternativa moderna e eficiente.,"O serviço 'Pagamento de contas' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Alternativa moderna e eficiente."
Emissão de boleto,Juros a partir de 8% ao ano,Isento para clientes premium,Processamento rápido e seguro.,O serviço 'Emissão de boleto' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Processamento rápido e seguro.
Emissão de boleto,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Taxas reduzidas para servidores públicos.,"O serviço 'Emissão de boleto' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Taxas reduzidas para servidores públicos."
Cartão de crédito,"Anuidade de R$120,00",Sem restrições,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Cartão de crédito' possui uma tarifa de Anuidade de R$120,00. Sem restrições. Oferece benefícios exclusivos para clientes do banco."
Transferência via DOC,"Tarifa mensal de R$20,00",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Transferência via DOC' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Ideal para quem busca praticidade."
Empréstimo pessoal,"Taxa de 0,5% ao mês",Sem restrições,"Disponível 24h por dia, todos os dias.","O serviço 'Empréstimo pessoal' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Disponível 24h por dia, todos os dias."
Pagamento de contas,"R$10,00 por operação",Isento para contas universitárias,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Pagamento de contas' possui uma tarifa de R$10,00 por operação. Isento para contas universitárias. Oferece benefícios exclusivos para clientes do banco."
Emissão de boleto,"R$5,00 por operação",Isento para contas universitárias,Alternativa moderna e eficiente.,"O serviço 'Emissão de boleto' possui uma tarifa de R$5,00 por operação. Isento para contas universitárias. Alternativa moderna e eficiente."
Débito automático,Gratuito,Desconto para clientes do banco,Taxas reduzidas para servidores públicos.,O serviço 'Débito automático' possui uma tarifa de Gratuito. Desconto para clientes do banco. Taxas reduzidas para servidores públicos.
Transferência via TED,"Tarifa mensal de R$20,00",Isento para clientes premium,"Disponível 24h por dia, todos os dias.","O serviço 'Transferência via TED' possui uma tarifa de Tarifa mensal de R$20,00. Isento para clientes premium. Disponível 24h por dia, todos os dias."
Conta digital,"R$10,00 por operação",Sem restrições,"Disponível 24h por dia, todos os dias.","O serviço 'Conta digital' possui uma tarifa de R$10,00 por operação. Sem restrições. Disponível 24h por dia, todos os dias."
Débito automático,Gratuito,Desconto para clientes do banco,"Disponível 24h por dia, todos os dias.","O serviço 'Débito automático' possui uma tarifa de Gratuito. Desconto para clientes do banco. Disponível 24h por dia, todos os dias."
Débito automático,"Taxa de 0,5% ao mês",Sem restrições,"Disponível 24h por dia, todos os dias.","O serviço 'Débito automático' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Disponível 24h por dia, todos os dias."
Débito automático,"Tarifa mensal de R$20,00",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Débito automático' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Ideal para quem busca praticidade."
Saque em agência,"Taxa de 0,5% ao mês",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Saque em agência' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Ideal para quem busca praticidade."
Débito automático,"Tarifa mensal de R$20,00",Isento para contas universitárias,Ideal para quem busca praticidade.,"O serviço 'Débito automático' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Ideal para quem busca praticidade."
Pix,"Taxa de 0,5% ao mês",Isento para clientes premium,Alternativa moderna e eficiente.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Alternativa moderna e eficiente."
Saque em agência,Gratuito,Desconto para clientes do banco,Processamento rápido e seguro.,O serviço 'Saque em agência' possui uma tarifa de Gratuito. Desconto para clientes do banco. Processamento rápido e seguro.
Consórcio de veículos,Gratuito,Desconto para clientes do banco,"Disponível 24h por dia, todos os dias.","O serviço 'Consórcio de veículos' possui uma tarifa de Gratuito. Desconto para clientes do banco. Disponível 24h por dia, todos os dias."
Transferência via DOC,Gratuito,Desconto para clientes do banco,"Disponível 24h por dia, todos os dias.","O serviço 'Transferência via DOC' possui uma tarifa de Gratuito. Desconto para clientes do banco. Disponível 24h por dia, todos os dias."
Consórcio de veículos,Gratuito,Desconto para clientes do banco,Alternativa moderna e eficiente.,O serviço 'Consórcio de veículos' possui uma tarifa de Gratuito. Desconto para clientes do banco. Alternativa moderna e eficiente.
Empréstimo pessoal,Gratuito,Isento para clientes premium,Taxas reduzidas para servidores públicos.,O serviço 'Empréstimo pessoal' possui uma tarifa de Gratuito. Isento para clientes premium. Taxas reduzidas para servidores públicos.
Empréstimo pessoal,Gratuito,Isento para clientes premium,Processamento rápido e seguro.,O serviço 'Empréstimo pessoal' possui uma tarifa de Gratuito. Isento para clientes premium. Processamento rápido e seguro.
Transferência via TED,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês",Ideal para quem busca praticidade.,"O serviço 'Transferência via TED' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Ideal para quem busca praticidade."
Pix,"Anuidade de R$120,00",Isento para clientes premium,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Pix' possui uma tarifa de Anuidade de R$120,00. Isento para clientes premium. Oferece benefícios exclusivos para clientes do banco."
Seguro de vida,"Tarifa mensal de R$20,00",Sem restrições,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Seguro de vida' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Oferece benefícios exclusivos para clientes do banco."
Transferência via TED,"R$5,00 por operação",Sem restrições,Taxas reduzidas para servidores públicos.,"O serviço 'Transferência via TED' possui uma tarifa de R$5,00 por operação. Sem restrições. Taxas reduzidas para servidores públicos."
Financiamento imobiliário,"Anuidade de R$120,00",Isento para contas universitárias,Processamento rápido e seguro.,"O serviço 'Financiamento imobiliário' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Processamento rápido e seguro."
Seguro de vida,"Taxa de 0,5% ao mês",Isento para contas universitárias,Ideal para quem busca praticidade.,"O serviço 'Seguro de vida' possui uma tarifa de Taxa de 0,5% ao mês. Isento para contas universitárias. Ideal para quem busca praticidade."
Consórcio de veículos,"R$5,00 por operação",Desconto para clientes do banco,"Disponível 24h por dia, todos os dias.","O serviço 'Consórcio de veículos' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Disponível 24h por dia, todos os dias."
Pix,"R$5,00 por operação","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Pix' possui uma tarifa de R$5,00 por operação. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Investimento CDB,Juros a partir de 8% ao ano,Isento para contas universitárias,Alternativa moderna e eficiente.,O serviço 'Investimento CDB' possui uma tarifa de Juros a partir de 8% ao ano. Isento para contas universitárias. Alternativa moderna e eficiente.
Emissão de boleto,Juros a partir de 8% ao ano,Desconto para clientes do banco,Taxas reduzidas para servidores públicos.,O serviço 'Emissão de boleto' possui uma tarifa de Juros a partir de 8% ao ano. Desconto para clientes do banco. Taxas reduzidas para servidores públicos.
Saque na rede 24h,"Tarifa mensal de R$20,00",Sem restrições,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Saque na rede 24h' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Oferece benefícios exclusivos para clientes do banco."
Saque em agência,Juros a partir de 8% ao ano,Sem restrições,Oferece benefícios exclusivos para clientes do banco.,O serviço 'Saque em agência' possui uma tarifa de Juros a partir de 8% ao ano. Sem restrições. Oferece benefícios exclusivos para clientes do banco.
Conta corrente básica,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Conta corrente básica' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Pix,"Taxa de 0,5% ao mês",Sem restrições,Alternativa moderna e eficiente.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Alternativa moderna e eficiente."
Empréstimo pessoal,"R$10,00 por operação",Isento para clientes premium,Alternativa moderna e eficiente.,"O serviço 'Empréstimo pessoal' possui uma tarifa de R$10,00 por operação. Isento para clientes premium. Alternativa moderna e eficiente."
Financiamento imobiliário,"Anuidade de R$120,00",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Financiamento imobiliário' possui uma tarifa de Anuidade de R$120,00. Sem restrições. Ideal para quem busca praticidade."
Conta corrente básica,Gratuito,"Isento para gastos acima de R$5.000,00/mês",Alternativa moderna e eficiente.,"O serviço 'Conta corrente básica' possui uma tarifa de Gratuito. Isento para gastos acima de R$5.000,00/mês. Alternativa moderna e eficiente."
Saque em agência,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Taxas reduzidas para servidores públicos.,"O serviço 'Saque em agência' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Taxas reduzidas para servidores públicos."
Pix,"Taxa de 0,5% ao mês",Sem restrições,Compensação em até 1 dia útil.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Compensação em até 1 dia útil."
Débito automático,"R$10,00 por operação",Isento para clientes premium,Processamento rápido e seguro.,"O serviço 'Débito automático' possui uma tarifa de R$10,00 por operação. Isento para clientes premium. Processamento rápido e seguro."
Débito automático,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Débito automático' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Investimento CDB,"Taxa de 0,5% ao mês","Isento para gastos acima de R$5.000,00/mês",Compensação em até 1 dia útil.,"O serviço 'Investimento CDB' possui uma tarifa de Taxa de 0,5% ao mês. Isento para gastos acima de R$5.000,00/mês. Compensação em até 1 dia útil."
Empréstimo pessoal,"R$10,00 por operação",Sem restrições,Taxas reduzidas para servidores públicos.,"O serviço 'Empréstimo pessoal' possui uma tarifa de R$10,00 por operação. Sem restrições. Taxas reduzidas para servidores públicos."
Conta corrente básica,"Anuidade de R$120,00",Isento para contas universitárias,Taxas reduzidas para servidores públicos.,"O serviço 'Conta corrente básica' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Taxas reduzidas para servidores públicos."
Seguro de vida,"Anuidade de R$120,00",Isento para contas universitárias,Alternativa moderna e eficiente.,"O serviço 'Seguro de vida' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Alternativa moderna e eficiente."
Financiamento imobiliário,Gratuito,Isento para clientes premium,Compensação em até 1 dia útil.,O serviço 'Financiamento imobiliário' possui uma tarifa de Gratuito. Isento para clientes premium. Compensação em até 1 dia útil.
Cartão de crédito,Gratuito,Sem restrições,Oferece benefícios exclusivos para clientes do banco.,O serviço 'Cartão de crédito' possui uma tarifa de Gratuito. Sem restrições. Oferece benefícios exclusivos para clientes do banco.
Saque em agência,"Taxa de 0,5% ao mês",Isento para clientes premium,Taxas reduzidas para servidores públicos.,"O serviço 'Saque em agência' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Taxas reduzidas para servidores públicos."
Investimento CDB,"R$5,00 por operação",Desconto para clientes do banco,Taxas reduzidas para servidores públicos.,"O serviço 'Investimento CDB' possui uma tarifa de R$5,00 por operação. Desconto para clientes do banco. Taxas reduzidas para servidores públicos."
Pix,Juros a partir de 8% ao ano,"Isento para gastos acima de R$5.000,00/mês",Compensação em até 1 dia útil.,"O serviço 'Pix' possui uma tarifa de Juros a partir de 8% ao ano. Isento para gastos acima de R$5.000,00/mês. Compensação em até 1 dia útil."
Emissão de boleto,"R$10,00 por operação",Desconto para clientes do banco,Compensação em até 1 dia útil.,"O serviço 'Emissão de boleto' possui uma tarifa de R$10,00 por operação. Desconto para clientes do banco. Compensação em até 1 dia útil."
Débito automático,"Tarifa mensal de R$20,00",Sem restrições,Ideal para quem busca praticidade.,"O serviço 'Débito automático' possui uma tarifa de Tarifa mensal de R$20,00. Sem restrições. Ideal para quem busca praticidade."
Investimento CDB,"Tarifa mensal de R$20,00",Isento para contas universitárias,Taxas reduzidas para servidores públicos.,"O serviço 'Investimento CDB' possui uma tarifa de Tarifa mensal de R$20,00. Isento para contas universitárias. Taxas reduzidas para servidores públicos."
Cartão de crédito,Gratuito,Isento para contas universitárias,Compensação em até 1 dia útil.,O serviço 'Cartão de crédito' possui uma tarifa de Gratuito. Isento para contas universitárias. Compensação em até 1 dia útil.
Seguro de vida,Juros a partir de 8% ao ano,Sem restrições,Processamento rápido e seguro.,O serviço 'Seguro de vida' possui uma tarifa de Juros a partir de 8% ao ano. Sem restrições. Processamento rápido e seguro.
Pix,"Taxa de 0,5% ao mês",Sem restrições,Compensação em até 1 dia útil.,"O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Sem restrições. Compensação em até 1 dia útil."
Pix,"Taxa de 0,5% ao mês",Isento para clientes premium,"Disponível 24h por dia, todos os dias.","O serviço 'Pix' possui uma tarifa de Taxa de 0,5% ao mês. Isento para clientes premium. Disponível 24h por dia, todos os dias."
Pix,Juros a partir de 8% ao ano,Isento para contas universitárias,Compensação em até 1 dia útil.,O serviço 'Pix' possui uma tarifa de Juros a partir de 8% ao ano. Isento para contas universitárias. Compensação em até 1 dia útil.
Empréstimo pessoal,"Anuidade de R$120,00",Isento para clientes premium,Processamento rápido e seguro.,"O serviço 'Empréstimo pessoal' possui uma tarifa de Anuidade de R$120,00. Isento para clientes premium. Processamento rápido e seguro."
Empréstimo pessoal,"Anuidade de R$120,00",Isento para contas universitárias,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Empréstimo pessoal' possui uma tarifa de Anuidade de R$120,00. Isento para contas universitárias. Oferece benefícios exclusivos para clientes do banco."
Conta corrente básica,"R$10,00 por operação",Isento para contas universitárias,Processamento rápido e seguro.,"O serviço 'Conta corrente básica' possui uma tarifa de R$10,00 por operação. Isento para contas universitárias. Processamento rápido e seguro."
Saque na rede 24h,"Tarifa mensal de R$20,00","Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Saque na rede 24h' possui uma tarifa de Tarifa mensal de R$20,00. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Débito automático,"Taxa de 0,5% ao mês",Desconto para clientes do banco,Ideal para quem busca praticidade.,"O serviço 'Débito automático' possui uma tarifa de Taxa de 0,5% ao mês. Desconto para clientes do banco. Ideal para quem busca praticidade."
Saque na rede 24h,Juros a partir de 8% ao ano,Sem restrições,Oferece benefícios exclusivos para clientes do banco.,O serviço 'Saque na rede 24h' possui uma tarifa de Juros a partir de 8% ao ano. Sem restrições. Oferece benefícios exclusivos para clientes do banco.
Pagamento de contas,Gratuito,Isento para contas universitárias,Alternativa moderna e eficiente.,O serviço 'Pagamento de contas' possui uma tarifa de Gratuito. Isento para contas universitárias. Alternativa moderna e eficiente.
Saque na rede 24h,Gratuito,Isento para clientes premium,Compensação em até 1 dia útil.,O serviço 'Saque na rede 24h' possui uma tarifa de Gratuito. Isento para clientes premium. Compensação em até 1 dia útil.
Saque em agência,Juros a partir de 8% ao ano,Isento para clientes premium,Ideal para quem busca praticidade.,O serviço 'Saque em agência' possui uma tarifa de Juros a partir de 8% ao ano. Isento para clientes premium. Ideal para quem busca praticidade.
Débito automático,"R$5,00 por operação","Isento para gastos acima de R$5.000,00/mês","Disponível 24h por dia, todos os dias.","O serviço 'Débito automático' possui uma tarifa de R$5,00 por operação. Isento para gastos acima de R$5.000,00/mês. Disponível 24h por dia, todos os dias."
Saque em agência,"R$10,00 por operação","Isento para gastos acima de R$5.000,00/mês",Processamento rápido e seguro.,"O serviço 'Saque em agência' possui uma tarifa de R$10,00 por operação. Isento para gastos acima de R$5.000,00/mês. Processamento rápido e seguro."
Consórcio de veículos,Gratuito,"Isento para gastos acima de R$5.000,00/mês",Taxas reduzidas para servidores públicos.,"O serviço 'Consórcio de veículos' possui uma tarifa de Gratuito. Isento para gastos acima de R$5.000,00/mês. Taxas reduzidas para servidores públicos."
Saque em agência,"R$5,00 por operação",Isento para contas universitárias,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Saque em agência' possui uma tarifa de R$5,00 por operação. Isento para contas universitárias. Oferece benefícios exclusivos para clientes do banco."
Empréstimo pessoal,"Tarifa mensal de R$20,00",Desconto para clientes do banco,Oferece benefícios exclusivos para clientes do banco.,"O serviço 'Empréstimo pessoal' possui uma tarifa de Tarifa mensal de R$20,00. Desconto para clientes do banco. Oferece benefícios exclusivos para clientes do banco."
Empréstimo pessoal,"Tarifa mensal de R$20,00",Desconto para clientes do banco,Alternativa moderna e eficiente.,"O serviço 'Empréstimo pessoal' possui uma tarifa de Tarifa mensal de R$20,00. Desconto para clientes do banco. Alternativa moderna e eficiente."
Transferência via DOC,"R$10,00 por operação",Isento para clientes premium,"Disponível 24h por dia, todos os dias.","O serviço 'Transferência via DOC' possui uma tarifa de R$10,00 por operação. Isento para clientes premium. Disponível 24h por dia, todos os dias."
Saque na rede 24h,Gratuito,Desconto para clientes do banco,"Disponível 24h por dia, todos os dias.","O serviço 'Saque na rede 24h' possui uma tarifa de Gratuito. Desconto para clientes do banco. Disponível 24h por dia, todos os dias."
